,k_0,p_hi,g,q,s,cost
0,5,0.05,0.15,1.3e-05,0.1,251537.0938967136
1,5,0.05,0.15,1.3e-05,0.3,292086.93427230045
2,5,0.05,0.15,1.3e-05,0.5,315962.8497652582
3,5,0.05,0.15,1.3e-05,0.7,368702.9671361502
4,5,0.05,0.15,1.3e-05,0.9,452415.40375586855
5,5,0.1,0.15,1.3e-05,0.1,565998.5868544601
6,5,0.1,0.15,1.3e-05,0.3,620808.9014084507
7,5,0.1,0.15,1.3e-05,0.5,685355.1079812207
8,5,0.1,0.15,1.3e-05,0.7,773329.7464788732
9,5,0.1,0.15,1.3e-05,0.9,836562.5164319249
10,5,0.2,0.15,1.3e-05,0.1,1125522.1079812206
11,5,0.2,0.15,1.3e-05,0.3,1193242.9342723005
12,5,0.2,0.15,1.3e-05,0.5,1310948.8356807511
13,5,0.2,0.15,1.3e-05,0.7,1354356.4178403756
14,5,0.2,0.15,1.3e-05,0.9,1529451.779342723
15,5,0.3,0.15,1.3e-05,0.1,1607414.7511737088
16,5,0.3,0.15,1.3e-05,0.3,1677728.558685446
17,5,0.3,0.15,1.3e-05,0.5,1780478.4460093896
18,5,0.3,0.15,1.3e-05,0.7,1897431.5258215962
19,5,0.3,0.15,1.3e-05,0.9,2024664.2394366197
20,5,0.5,0.15,1.3e-05,0.1,2351752.3661971833
21,5,0.5,0.15,1.3e-05,0.3,2438859.6619718308
22,5,0.5,0.15,1.3e-05,0.5,2539067.4460093896
23,5,0.5,0.15,1.3e-05,0.7,2665186.323943662
24,5,0.5,0.15,1.3e-05,0.9,2789290.6619718308
25,20,0.05,0.15,1.3e-05,0.1,43747.910798122066
26,20,0.05,0.15,1.3e-05,0.3,61914.51643192488
27,20,0.05,0.15,1.3e-05,0.5,82557.01877934272
28,20,0.05,0.15,1.3e-05,0.7,109707.50234741785
29,20,0.05,0.15,1.3e-05,0.9,141882.00938967135
30,20,0.1,0.15,1.3e-05,0.1,110141.03755868545
31,20,0.1,0.15,1.3e-05,0.3,136758.8356807512
32,20,0.1,0.15,1.3e-05,0.5,177054.85915492958
33,20,0.1,0.15,1.3e-05,0.7,203563.28638497653
34,20,0.1,0.15,1.3e-05,0.9,244849.30985915492
35,20,0.2,0.15,1.3e-05,0.1,234359.45070422534
36,20,0.2,0.15,1.3e-05,0.3,274201.71830985916
37,20,0.2,0.15,1.3e-05,0.5,328893.1690140845
38,20,0.2,0.15,1.3e-05,0.7,370790.75117370894
39,20,0.2,0.15,1.3e-05,0.9,420489.04225352115
40,20,0.3,0.15,1.3e-05,0.1,350454.6525821596
41,20,0.3,0.15,1.3e-05,0.3,403477.6338028169
42,20,0.3,0.15,1.3e-05,0.5,466922.06103286386
43,20,0.3,0.15,1.3e-05,0.7,539221.4929577465
44,20,0.3,0.15,1.3e-05,0.9,569042.4460093897
45,20,0.5,0.15,1.3e-05,0.1,577142.2159624413
46,20,0.5,0.15,1.3e-05,0.3,648889.234741784
47,20,0.5,0.15,1.3e-05,0.5,712012.2957746478
48,20,0.5,0.15,1.3e-05,0.7,774332.4507042253
49,20,0.5,0.15,1.3e-05,0.9,821649.0
50,50,0.05,0.15,1.3e-05,0.1,302.32394366197184
51,50,0.05,0.15,1.3e-05,0.3,2714.807511737089
52,50,0.05,0.15,1.3e-05,0.5,5873.455399061033
53,50,0.05,0.15,1.3e-05,0.7,18376.69953051643
54,50,0.05,0.15,1.3e-05,0.9,30995.464788732395
55,50,0.1,0.15,1.3e-05,0.1,368.7793427230047
56,50,0.1,0.15,1.3e-05,0.3,2007.868544600939
57,50,0.1,0.15,1.3e-05,0.5,8772.765258215963
58,50,0.1,0.15,1.3e-05,0.7,26667.244131455398
59,50,0.1,0.15,1.3e-05,0.9,40368.366197183095
60,50,0.2,0.15,1.3e-05,0.1,1328.3896713615025
61,50,0.2,0.15,1.3e-05,0.3,5741.497652582159
62,50,0.2,0.15,1.3e-05,0.5,16333.206572769954
63,50,0.2,0.15,1.3e-05,0.7,29131.610328638497
64,50,0.2,0.15,1.3e-05,0.9,54022.89201877934
65,50,0.3,0.15,1.3e-05,0.1,2762.286384976526
66,50,0.3,0.15,1.3e-05,0.3,8589.544600938967
67,50,0.3,0.15,1.3e-05,0.5,19965.798122065728
68,50,0.3,0.15,1.3e-05,0.7,35503.25352112676
69,50,0.3,0.15,1.3e-05,0.9,55818.88262910798
70,50,0.5,0.15,1.3e-05,0.1,6976.948356807512
71,50,0.5,0.15,1.3e-05,0.3,15724.201877934272
72,50,0.5,0.15,1.3e-05,0.5,29268.309859154928
73,50,0.5,0.15,1.3e-05,0.7,41364.657276995305
74,50,0.5,0.15,1.3e-05,0.9,61557.81690140845
75,100,0.05,0.15,1.3e-05,0.1,8260.464788732394
76,100,0.05,0.15,1.3e-05,0.3,2863.760563380282
77,100,0.05,0.15,1.3e-05,0.5,2991.112676056338
78,100,0.05,0.15,1.3e-05,0.7,8916.638497652582
79,100,0.05,0.15,1.3e-05,0.9,17802.816901408452
80,100,0.1,0.15,1.3e-05,0.1,6797.056338028169
