,k_0,p_hi,g,q,s,cost
0,5,0.05,0.15,1.3e-05,0.1,249587.30516431926
1,5,0.05,0.15,1.3e-05,0.3,286551.5070422535
2,5,0.05,0.15,1.3e-05,0.5,330704.24882629106
3,5,0.05,0.15,1.3e-05,0.7,389875.45539906103
4,5,0.05,0.15,1.3e-05,0.9,437293.23943661974
5,5,0.1,0.15,1.3e-05,0.1,569075.4647887324
6,5,0.1,0.15,1.3e-05,0.3,629697.3708920188
7,5,0.1,0.15,1.3e-05,0.5,698630.7699530517
8,5,0.1,0.15,1.3e-05,0.7,766985.5305164319
9,5,0.1,0.15,1.3e-05,0.9,810425.6291079812
10,5,0.2,0.15,1.3e-05,0.1,1117430.7136150235
11,5,0.2,0.15,1.3e-05,0.3,1199543.718309859
12,5,0.2,0.15,1.3e-05,0.5,1293246.281690141
13,5,0.2,0.15,1.3e-05,0.7,1355508.0093896713
14,5,0.2,0.15,1.3e-05,0.9,1454650.2910798122
15,5,0.3,0.15,1.3e-05,0.1,1581707.6384976525
16,5,0.3,0.15,1.3e-05,0.3,1678505.5070422536
17,5,0.3,0.15,1.3e-05,0.5,1772686.8591549296
18,5,0.3,0.15,1.3e-05,0.7,1888238.5211267606
19,5,0.3,0.15,1.3e-05,0.9,1983270.8028169014
20,5,0.5,0.15,1.3e-05,0.1,2353823.483568075
21,5,0.5,0.15,1.3e-05,0.3,2411031.5023474176
22,5,0.5,0.15,1.3e-05,0.5,2549402.971830986
23,5,0.5,0.15,1.3e-05,0.7,2697825.3145539905
24,5,0.5,0.15,1.3e-05,0.9,2731863.408450704
25,20,0.05,0.15,1.3e-05,0.1,42440.25352112676
26,20,0.05,0.15,1.3e-05,0.3,59572.7089201878
27,20,0.05,0.15,1.3e-05,0.5,86411.57276995305
28,20,0.05,0.15,1.3e-05,0.7,107345.82159624413
29,20,0.05,0.15,1.3e-05,0.9,133897.7511737089
30,20,0.1,0.15,1.3e-05,0.1,108306.31455399061
31,20,0.1,0.15,1.3e-05,0.3,136813.04225352113
32,20,0.1,0.15,1.3e-05,0.5,170860.7511737089
33,20,0.1,0.15,1.3e-05,0.7,199514.2488262911
34,20,0.1,0.15,1.3e-05,0.9,237243.76525821595
35,20,0.2,0.15,1.3e-05,0.1,222018.50704225354
36,20,0.2,0.15,1.3e-05,0.3,288075.9906103286
37,20,0.2,0.15,1.3e-05,0.5,324446.55399061035
38,20,0.2,0.15,1.3e-05,0.7,362233.39906103286
39,20,0.2,0.15,1.3e-05,0.9,407827.61971830984
40,20,0.3,0.15,1.3e-05,0.1,351719.3286384976
41,20,0.3,0.15,1.3e-05,0.3,420556.3192488263
42,20,0.3,0.15,1.3e-05,0.5,453194.09389671363
43,20,0.3,0.15,1.3e-05,0.7,509448.9671361502
44,20,0.3,0.15,1.3e-05,0.9,579660.8544600939
45,20,0.5,0.15,1.3e-05,0.1,571857.7511737089
46,20,0.5,0.15,1.3e-05,0.3,624457.8920187793
47,20,0.5,0.15,1.3e-05,0.5,700806.4882629107
48,20,0.5,0.15,1.3e-05,0.7,786715.8262910799
