,k_0,p_hi,g,q,s,cost
0,5,0.05,0.15,1.3e-05,0.1,32302506.95774648
1,5,0.05,0.15,1.3e-05,0.3,39912528.995305166
2,5,0.05,0.15,1.3e-05,0.5,50152098.06103286
3,5,0.05,0.15,1.3e-05,0.7,62037331.39906103
4,5,0.05,0.15,1.3e-05,0.9,70803819.65727699
5,5,0.1,0.15,1.3e-05,0.1,54609404.33802817
6,5,0.1,0.15,1.3e-05,0.3,63916132.87793427
7,5,0.1,0.15,1.3e-05,0.5,75266745.62910798
8,5,0.1,0.15,1.3e-05,0.7,86705153.45070423
9,5,0.1,0.15,1.3e-05,0.9,96106459.68544601
10,5,0.2,0.15,1.3e-05,0.1,78761270.87323944
11,5,0.2,0.15,1.3e-05,0.3,89210086.64319248
12,5,0.2,0.15,1.3e-05,0.5,100239553.84037559
13,5,0.2,0.15,1.3e-05,0.7,108968338.50234742
14,5,0.2,0.15,1.3e-05,0.9,119887518.31455399
15,5,0.3,0.15,1.3e-05,0.1,93219955.20187794
16,5,0.3,0.15,1.3e-05,0.3,102777142.0516432
17,5,0.3,0.15,1.3e-05,0.5,113640282.57746479
18,5,0.3,0.15,1.3e-05,0.7,122056895.63380282
19,5,0.3,0.15,1.3e-05,0.9,133148811.0516432
20,5,0.5,0.15,1.3e-05,0.1,109105017.02347417
21,5,0.5,0.15,1.3e-05,0.3,119243688.21596244
22,5,0.5,0.15,1.3e-05,0.5,129784690.09389672
23,5,0.5,0.15,1.3e-05,0.7,138979682.49295774
24,5,0.5,0.15,1.3e-05,0.9,148096829.6197183
25,20,0.05,0.15,1.3e-05,0.1,12194463.38028169
26,20,0.05,0.15,1.3e-05,0.3,17106161.840375587
27,20,0.05,0.15,1.3e-05,0.5,25822634.427230045
28,20,0.05,0.15,1.3e-05,0.7,34528468.10798122
29,20,0.05,0.15,1.3e-05,0.9,45726878.14084507
30,20,0.1,0.15,1.3e-05,0.1,21902062.938967135
31,20,0.1,0.15,1.3e-05,0.3,29940037.408450704
32,20,0.1,0.15,1.3e-05,0.5,39162787.62910798
33,20,0.1,0.15,1.3e-05,0.7,49144343.49295775
34,20,0.1,0.15,1.3e-05,0.9,58879505.01408451
35,20,0.2,0.15,1.3e-05,0.1,34902312.802816905
36,20,0.2,0.15,1.3e-05,0.3,44224723.450704224
37,20,0.2,0.15,1.3e-05,0.5,54213291.61032864
38,20,0.2,0.15,1.3e-05,0.7,64288874.13615023
39,20,0.2,0.15,1.3e-05,0.9,74707640.60093896
40,20,0.3,0.15,1.3e-05,0.1,44013417.41784038
41,20,0.3,0.15,1.3e-05,0.3,54035229.44600939
42,20,0.3,0.15,1.3e-05,0.5,63896623.43192488
43,20,0.3,0.15,1.3e-05,0.7,74548475.83568075
44,20,0.3,0.15,1.3e-05,0.9,84185827.30985916
45,20,0.5,0.15,1.3e-05,0.1,57093907.71361502
46,20,0.5,0.15,1.3e-05,0.3,67830910.37558685
47,20,0.5,0.15,1.3e-05,0.5,77894247.61502348
48,20,0.5,0.15,1.3e-05,0.7,88433691.76525822
49,20,0.5,0.15,1.3e-05,0.9,98529321.84507042
50,50,0.05,0.15,1.3e-05,0.1,9459773.51173709
51,50,0.05,0.15,1.3e-05,0.3,2853893.755868545
52,50,0.05,0.15,1.3e-05,0.5,4251029.525821596
53,50,0.05,0.15,1.3e-05,0.7,9881123.38028169
54,50,0.05,0.15,1.3e-05,0.9,16821566.854460094
55,50,0.1,0.15,1.3e-05,0.1,7296302.572769953
56,50,0.1,0.15,1.3e-05,0.3,3567034.3380281692
57,50,0.1,0.15,1.3e-05,0.5,6450903.774647887
58,50,0.1,0.15,1.3e-05,0.7,13364467.615023473
59,50,0.1,0.15,1.3e-05,0.9,20831607.061032865
60,50,0.2,0.15,1.3e-05,0.1,6250906.779342723
61,50,0.2,0.15,1.3e-05,0.3,4971856.981220657
62,50,0.2,0.15,1.3e-05,0.5,9452462.713615023
63,50,0.2,0.15,1.3e-05,0.7,16483698.57746479
64,50,0.2,0.15,1.3e-05,0.9,24873665.187793426
65,50,0.3,0.15,1.3e-05,0.1,6168492.070422535
66,50,0.3,0.15,1.3e-05,0.3,6012375.887323944
67,50,0.3,0.15,1.3e-05,0.5,11075404.723004695
68,50,0.3,0.15,1.3e-05,0.7,18962909.690140843
69,50,0.3,0.15,1.3e-05,0.9,28482363.76056338
