,k_0,p_hi,g,q,s,cost
0,200,0.3,0.15,1.3e-05,0.5,4738682.300469483
1,200,0.3,0.15,1.3e-05,0.55,2909089.558685446
2,200,0.3,0.15,1.3e-05,0.6,1873096.3990610328
3,200,0.3,0.15,1.3e-05,0.65,954356.8028169014
4,200,0.3,0.15,1.3e-05,0.7,663988.2582159624
5,200,0.35,0.15,1.3e-05,0.5,4770114.497652582
6,200,0.35,0.15,1.3e-05,0.55,2800839.4976525824
7,200,0.35,0.15,1.3e-05,0.6,1796517.8262910799
8,200,0.35,0.15,1.3e-05,0.65,948561.5258215963
9,200,0.35,0.15,1.3e-05,0.7,671708.2018779343
10,200,0.4,0.15,1.3e-05,0.5,4368836.502347418
11,200,0.4,0.15,1.3e-05,0.55,2917870.7417840376
12,200,0.4,0.15,1.3e-05,0.6,1910990.2723004695
13,200,0.4,0.15,1.3e-05,0.65,1056682.7840375586
14,200,0.4,0.15,1.3e-05,0.7,684663.4647887324
15,200,0.45,0.15,1.3e-05,0.5,4468515.159624414
16,200,0.45,0.15,1.3e-05,0.55,2813884.7887323946
17,200,0.45,0.15,1.3e-05,0.6,1710803.5352112676
18,200,0.45,0.15,1.3e-05,0.65,965676.896713615
19,200,0.45,0.15,1.3e-05,0.7,664188.4694835681
20,200,0.5,0.15,1.3e-05,0.5,4664587.150234742
21,200,0.5,0.15,1.3e-05,0.55,3001401.408450704
22,200,0.5,0.15,1.3e-05,0.6,1669612.9248826292
23,200,0.5,0.15,1.3e-05,0.65,982317.5492957747
24,200,0.5,0.15,1.3e-05,0.7,718604.5821596244
25,220,0.3,0.15,1.3e-05,0.5,5123039.328638498
26,220,0.3,0.15,1.3e-05,0.55,3535635.3098591547
27,220,0.3,0.15,1.3e-05,0.6,1789666.2769953052
28,220,0.3,0.15,1.3e-05,0.65,1036739.1408450705
29,220,0.3,0.15,1.3e-05,0.7,669741.7370892019
30,220,0.35,0.15,1.3e-05,0.5,5270531.582159624
31,220,0.35,0.15,1.3e-05,0.55,3215963.544600939
32,220,0.35,0.15,1.3e-05,0.6,1977308.7464788733
33,220,0.35,0.15,1.3e-05,0.65,1159911.971830986
34,220,0.35,0.15,1.3e-05,0.7,764509.1596244131
35,220,0.4,0.15,1.3e-05,0.5,5715847.164319249
36,220,0.4,0.15,1.3e-05,0.55,3438396.323943662
37,220,0.4,0.15,1.3e-05,0.6,2021964.6244131455
38,220,0.4,0.15,1.3e-05,0.65,1081768.5258215962
39,220,0.4,0.15,1.3e-05,0.7,670922.985915493
40,220,0.45,0.15,1.3e-05,0.5,5225296.981220657
41,220,0.45,0.15,1.3e-05,0.55,3340563.3896713615
42,220,0.45,0.15,1.3e-05,0.6,2163357.5352112674
43,220,0.45,0.15,1.3e-05,0.65,1130530.323943662
44,220,0.45,0.15,1.3e-05,0.7,698947.3755868544
45,220,0.5,0.15,1.3e-05,0.5,5099616.9718309855
46,220,0.5,0.15,1.3e-05,0.55,3335330.600938967
47,220,0.5,0.15,1.3e-05,0.6,1897187.8309859154
48,220,0.5,0.15,1.3e-05,0.65,1168807.2769953052
49,220,0.5,0.15,1.3e-05,0.7,660854.1596244131
50,240,0.3,0.15,1.3e-05,0.5,6128754.751173709
51,240,0.3,0.15,1.3e-05,0.55,3896742.971830986
52,240,0.3,0.15,1.3e-05,0.6,2398007.0704225353
53,240,0.3,0.15,1.3e-05,0.65,1256491.8028169014
54,240,0.3,0.15,1.3e-05,0.7,824524.4319248826
55,240,0.35,0.15,1.3e-05,0.5,5917226.023474178
56,240,0.35,0.15,1.3e-05,0.55,3522761.276995305
57,240,0.35,0.15,1.3e-05,0.6,2374673.9295774647
58,240,0.35,0.15,1.3e-05,0.65,1187443.3474178403
59,240,0.35,0.15,1.3e-05,0.7,700481.3192488262
60,240,0.4,0.15,1.3e-05,0.5,5791995.244131455
61,240,0.4,0.15,1.3e-05,0.55,3694074.0
62,240,0.4,0.15,1.3e-05,0.6,2168263.615023474
63,240,0.4,0.15,1.3e-05,0.65,1294180.8262910799
64,240,0.4,0.15,1.3e-05,0.7,795390.6713615024
65,240,0.45,0.15,1.3e-05,0.5,6246036.788732395
66,240,0.45,0.15,1.3e-05,0.55,3786107.0704225353
67,240,0.45,0.15,1.3e-05,0.6,2241495.4647887326
68,240,0.45,0.15,1.3e-05,0.65,1221263.2159624414
69,240,0.45,0.15,1.3e-05,0.7,772169.7605633803
70,240,0.5,0.15,1.3e-05,0.5,6026774.093896714
71,240,0.5,0.15,1.3e-05,0.55,3521898.4788732394
72,240,0.5,0.15,1.3e-05,0.6,2116364.4225352113
73,240,0.5,0.15,1.3e-05,0.65,1191633.0046948357
74,240,0.5,0.15,1.3e-05,0.7,772237.4600938967
75,260,0.3,0.15,1.3e-05,0.5,5634611.812206573
76,260,0.3,0.15,1.3e-05,0.55,4232521.253521127
77,260,0.3,0.15,1.3e-05,0.6,2402530.0657276995
78,260,0.3,0.15,1.3e-05,0.65,1361718.5211267606
79,260,0.3,0.15,1.3e-05,0.7,814159.7981220657
80,260,0.35,0.15,1.3e-05,0.5,6239151.741784038
81,260,0.35,0.15,1.3e-05,0.55,4242423.492957747
82,260,0.35,0.15,1.3e-05,0.6,2370150.145539906
83,260,0.35,0.15,1.3e-05,0.65,1390612.1549295774
84,260,0.35,0.15,1.3e-05,0.7,807578.8122065727
85,260,0.4,0.15,1.3e-05,0.5,6794274.408450704
86,260,0.4,0.15,1.3e-05,0.55,4014481.9953051643
87,260,0.4,0.15,1.3e-05,0.6,2525236.136150235
88,260,0.4,0.15,1.3e-05,0.65,1250780.4225352113
89,260,0.4,0.15,1.3e-05,0.7,883590.1455399061
90,260,0.45,0.15,1.3e-05,0.5,6163233.122065728
91,260,0.45,0.15,1.3e-05,0.55,3980045.1502347416
92,260,0.45,0.15,1.3e-05,0.6,2502430.9342723005
93,260,0.45,0.15,1.3e-05,0.65,1464256.1408450704
94,260,0.45,0.15,1.3e-05,0.7,731383.5680751174
95,260,0.5,0.15,1.3e-05,0.5,6264096.48826291
96,260,0.5,0.15,1.3e-05,0.55,3942480.6103286385
97,260,0.5,0.15,1.3e-05,0.6,2495842.3427230045
98,260,0.5,0.15,1.3e-05,0.65,1361577.9483568075
99,260,0.5,0.15,1.3e-05,0.7,753907.1314553991
100,280,0.3,0.15,1.3e-05,0.5,6715019.723004695
101,280,0.3,0.15,1.3e-05,0.55,4212911.976525822
102,280,0.3,0.15,1.3e-05,0.6,2757485.1784037556
103,280,0.3,0.15,1.3e-05,0.65,1439738.79342723
104,280,0.3,0.15,1.3e-05,0.7,848155.0046948356
105,280,0.35,0.15,1.3e-05,0.5,6565407.938967136
106,280,0.35,0.15,1.3e-05,0.55,4171541.6103286385
107,280,0.35,0.15,1.3e-05,0.6,2768606.58685446
108,280,0.35,0.15,1.3e-05,0.65,1524190.1830985916
109,280,0.35,0.15,1.3e-05,0.7,845435.5962441314
110,280,0.4,0.15,1.3e-05,0.5,6558034.849765258
111,280,0.4,0.15,1.3e-05,0.55,4463885.798122066
112,280,0.4,0.15,1.3e-05,0.6,2622706.1502347416
113,280,0.4,0.15,1.3e-05,0.65,1514279.868544601
114,280,0.4,0.15,1.3e-05,0.7,931015.9295774648
115,280,0.45,0.15,1.3e-05,0.5,6349998.563380281
116,280,0.45,0.15,1.3e-05,0.55,4533245.164319249
117,280,0.45,0.15,1.3e-05,0.6,2470888.76056338
