,p,q,s,cost
0,0.0001,1.3e-05,0.1,34466.826291079815
1,0.001,1.3e-05,0.1,16744.657276995305
2,0.003,1.3e-05,0.1,2702.319248826291
3,0.005,1.3e-05,0.1,1022.1549295774648
4,0.01,1.3e-05,0.1,26786.272300469485
5,0.015,1.3e-05,0.1,79532.53051643193
6,0.0001,1.3e-05,0.3,19445.295774647886
7,0.001,1.3e-05,0.3,9566.18309859155
8,0.003,1.3e-05,0.3,1515.7042253521126
9,0.005,1.3e-05,0.3,5685.075117370892
10,0.01,1.3e-05,0.3,39166.08450704225
11,0.015,1.3e-05,0.3,93899.57276995305
12,0.0001,1.3e-05,0.5,12597.56338028169
13,0.001,1.3e-05,0.5,5227.43661971831
14,0.003,1.3e-05,0.5,3472.323943661972
15,0.005,1.3e-05,0.5,14199.723004694835
16,0.01,1.3e-05,0.5,58863.09859154929
17,0.015,1.3e-05,0.5,131193.6572769953
18,0.0001,1.3e-05,0.7,10270.300469483567
19,0.001,1.3e-05,0.7,5498.3239436619715
20,0.003,1.3e-05,0.7,12797.75117370892
21,0.005,1.3e-05,0.7,23276.272300469485
22,0.01,1.3e-05,0.7,94472.22535211267
23,0.015,1.3e-05,0.7,156942.2441314554
24,0.0001,1.3e-05,0.9,11050.676056338029
25,0.001,1.3e-05,0.9,13420.708920187793
26,0.003,1.3e-05,0.9,21410.037558685446
27,0.005,1.3e-05,0.9,43281.54460093897
28,0.01,1.3e-05,0.9,121531.33802816902
29,0.015,1.3e-05,0.9,206737.4366197183
