,p,q,s,cost
0,0.003,1.3e-05,0.1,2399.0516431924884
1,0.0035,1.3e-05,0.1,697.962441314554
2,0.004,1.3e-05,0.1,335.6901408450704
3,0.0045,1.3e-05,0.1,611.6056338028169
4,0.005,1.3e-05,0.1,401.83098591549293
5,0.003,1.3e-05,0.15,1939.7323943661972
6,0.0035,1.3e-05,0.15,701.924882629108
7,0.004,1.3e-05,0.15,477.6244131455399
8,0.0045,1.3e-05,0.15,608.9671361502348
9,0.005,1.3e-05,0.15,1419.9906103286385
10,0.003,1.3e-05,0.2,940.37558685446
11,0.0035,1.3e-05,0.2,655.9765258215963
12,0.004,1.3e-05,0.2,702.6854460093897
13,0.0045,1.3e-05,0.2,1124.8169014084508
14,0.005,1.3e-05,0.2,2744.1643192488264
15,0.003,1.3e-05,0.25,918.9530516431925
16,0.0035,1.3e-05,0.25,864.6478873239437
17,0.004,1.3e-05,0.25,1239.0704225352113
18,0.0045,1.3e-05,0.25,2720.9671361502346
19,0.005,1.3e-05,0.25,4420.723004694835
20,0.003,1.3e-05,0.3,1488.5023474178404
21,0.0035,1.3e-05,0.3,1230.8920187793428
22,0.004,1.3e-05,0.3,1987.8075117370893
23,0.0045,1.3e-05,0.3,4678.765258215963
24,0.005,1.3e-05,0.3,5502.840375586855
