,p,q,s,cost
0,0.0001,1.3e-05,0.1,146190890.03286386
1,0.001,1.3e-05,0.1,76681581.56807512
2,0.003,1.3e-05,0.1,29923787.211267605
3,0.005,1.3e-05,0.1,13959459.779342722
4,0.01,1.3e-05,0.1,7612187.140845071
5,0.015,1.3e-05,0.1,11642927.441314554
6,0.0001,1.3e-05,0.3,65072273.07042254
7,0.001,1.3e-05,0.3,29396509.427230045
8,0.003,1.3e-05,0.3,8400729.643192489
9,0.005,1.3e-05,0.3,3953835.5821596244
10,0.01,1.3e-05,0.3,7667965.981220657
11,0.015,1.3e-05,0.3,15799900.727699531
12,0.0001,1.3e-05,0.5,24496284.201877933
13,0.001,1.3e-05,0.5,7929414.976525822
14,0.003,1.3e-05,0.5,1657403.8028169014
15,0.005,1.3e-05,0.5,3388037.0140845072
16,0.01,1.3e-05,0.5,13430110.220657278
17,0.015,1.3e-05,0.5,23496416.746478874
18,0.0001,1.3e-05,0.7,7188545.615023474
19,0.001,1.3e-05,0.7,1089438.6948356808
20,0.003,1.3e-05,0.7,2848382.0
21,0.005,1.3e-05,0.7,7904779.3239436615
22,0.01,1.3e-05,0.7,21314943.812206574
23,0.015,1.3e-05,0.7,33462484.774647888
24,0.0001,1.3e-05,0.9,693190.0375586854
25,0.001,1.3e-05,0.9,1421437.530516432
26,0.003,1.3e-05,0.9,7778264.957746479
27,0.005,1.3e-05,0.9,14250071.126760563
28,0.01,1.3e-05,0.9,31031768.605633803
29,0.015,1.3e-05,0.9,43533497.96244132
