,p,q,s,cost
0,0.0001,1.3e-05,0.7,7443946.981220657
1,0.00025,1.3e-05,0.7,5049085.305164319
2,0.0004,1.3e-05,0.7,3823716.38028169
3,0.000625,1.3e-05,0.7,2356095.6431924882
4,0.00085,1.3e-05,0.7,1491432.5117370891
5,0.001,1.3e-05,0.7,1053280.7370892018
6,0.0001,1.3e-05,0.75,4883271.460093897
7,0.00025,1.3e-05,0.75,3339408.159624413
8,0.0004,1.3e-05,0.75,2273522.840375587
9,0.000625,1.3e-05,0.75,1258796.1690140846
10,0.00085,1.3e-05,0.75,817785.3849765258
11,0.001,1.3e-05,0.75,648335.4976525821
12,0.0001,1.3e-05,0.8,2894484.8450704226
13,0.00025,1.3e-05,0.8,1791516.4882629109
14,0.0004,1.3e-05,0.8,1164352.3990610328
15,0.000625,1.3e-05,0.8,677111.7370892019
16,0.00085,1.3e-05,0.8,544054.6291079812
17,0.001,1.3e-05,0.8,562653.352112676
18,0.0001,1.3e-05,0.85,1704554.103286385
19,0.00025,1.3e-05,0.85,1044138.014084507
20,0.0004,1.3e-05,0.85,614468.8403755869
21,0.000625,1.3e-05,0.85,452421.8779342723
22,0.00085,1.3e-05,0.85,628783.4694835681
23,0.001,1.3e-05,0.85,898064.3427230048
24,0.0001,1.3e-05,0.9,896186.7840375587
25,0.00025,1.3e-05,0.9,521748.4600938967
26,0.0004,1.3e-05,0.9,435994.9859154929
27,0.000625,1.3e-05,0.9,555839.896713615
28,0.00085,1.3e-05,0.9,939706.8450704225
29,0.001,1.3e-05,0.9,1329764.3849765258
